AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto_Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted_Efficiency_Margin,KP_Adjusted_Offensive_Efficiency,KP_AOE_Rk,KP_Adjusted_Defensive_Efficiency,KP_ADE_Rk,KP_Adjusted_Tempo,KP_AT_Rk,KP_Luck,KP_Luck_Rk,KP_Strength_of_Schedule,KP_SOS_Rk,KP_Non-Conference_Strength_of_Schedule,KP_NCSOS_Rk,KP_Average_Opponents_Offensive_Efficiency,KP_AOOE_Rk,KP_Average_Opponents_Defensive_Efficiency,KP_AODE_Rk,Round,Round_Number,Team,Seed,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted_Efficiency_Margin,Opp_KP_Adjusted_Offensive_Efficiency,Opp_KP_AOW_Rk,Opp_KP_Adjusted_Defensive_Efficiency,Opp_KP_ADE_Rk,Opp_KP_Adjusted_Tempo,Opp_KP_AT_Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength_of_Schedule,Opp_KP_SOS_Rk,Opp_KP_Non-Conference_Strength_of_Schedule,Opp_KP_NCSOS_Rk,Opp_KP_Average_Opponents_Offensive_Efficiency,Opp_KP_AOOE_Rk,Opp_KP_Average_Opponents_Defensive_Efficiency,Opp_KP_AODE_Rk,OppTeam,OppSeed
,,200,2021,67,Norfolk State,1,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,First Four,0,Norfolk State,16,,,209,68,Appalachian State,Sun Belt,28,17,11,0.607,7,8,0.467,9,4,4,7,4,0,0,1,1040,1029,69.3,68.6,1986,1806,70.9,64.5,674,1626,0.415,227,701,0.324,411,558,0.737,-2.91,100.1,227,103,205,65.7,310,0.06,52,-2.97,232,5.72,113,100.1,249,103.1,221,Appalachian State,16
,,209,2021,68,Appalachian State,1,Sun Belt,28,17,11,0.607,7,8,0.467,9,4,4,7,4,0,0,1,1040,1029,69.3,68.6,1986,1806,70.9,64.5,674,1626,0.415,227,701,0.324,411,558,0.737,-2.91,100.1,227,103,205,65.7,310,0.06,52,-2.97,232,5.72,113,100.1,249,103.1,221,First Four,0,Appalachian State,16,,,200,67,Norfolk State,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,Norfolk State,16
,,74,2021,45,Wichita State,0,American,21,16,5,0.762,11,2,0.846,10,2,5,2,1,1,1,1,945,891,72.7,68.5,1520,1416,72.4,67.4,514,1261,0.408,175,512,0.342,317,460,0.689,12.98,110.7,56,97.7,103,67.6,225,0.121,10,9.09,84,12.6,34,105.4,107,96.4,48,First Four,0,Wichita State,11,,,53,48,Drake,Missouri Valley,29,25,4,0.862,15,3,0.833,14,1,9,2,2,1,1,2,1331,1191,73.9,66.2,2245,1875,77.4,64.7,868,1757,0.494,204,552,0.37,305,428,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,Drake,11
,,53,2021,48,Drake,0,Missouri Valley,29,25,4,0.862,15,3,0.833,14,1,9,2,2,1,1,2,1331,1191,73.9,66.2,2245,1875,77.4,64.7,868,1757,0.494,204,552,0.37,305,428,0.713,16.07,114.6,19,98.6,120,66.8,265,0.095,21,2.18,157,-9.27,310,102.9,172,100.7,138,First Four,0,Drake,11,,,74,45,Wichita State,American,21,16,5,0.762,11,2,0.846,10,2,5,2,1,1,1,1,945,891,72.7,68.5,1520,1416,72.4,67.4,514,1261,0.408,175,512,0.342,317,460,0.689,12.98,110.7,56,97.7,103,67.6,225,0.121,10,9.09,84,12.6,34,105.4,107,96.4,48,Wichita State,11
,13,56,2021,43,Michigan State,0,Big Ten,27,15,12,0.556,9,11,0.45,12,3,3,8,0,1,5,6,1298,1403,64.9,70.2,1864,1905,69,70,668,1574,0.424,172,537,0.32,356,494,0.721,15.44,107.7,98,92.2,32,68.6,166,0.106,16,18.16,8,-0.53,220,112.5,3,94.3,15,First Four,0,Michigan State,11,,22,44,44,UCLA,Pac-12,26,17,9,0.654,13,6,0.684,11,1,5,5,1,2,0,1,1350,1282,71.1,67.5,1894,1781,72.8,68.5,686,1485,0.462,173,471,0.367,349,484,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11
,22,44,2021,44,UCLA,0,Pac-12,26,17,9,0.654,13,6,0.684,11,1,5,5,1,2,0,1,1350,1282,71.1,67.5,1894,1781,72.8,68.5,686,1485,0.462,173,471,0.367,349,484,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,First Four,0,UCLA,11,,13,56,43,Michigan State,Big Ten,27,15,12,0.556,9,11,0.45,12,3,3,8,0,1,5,6,1298,1403,64.9,70.2,1864,1905,69,70,668,1574,0.424,172,537,0.32,356,494,0.721,15.44,107.7,98,92.2,32,68.6,166,0.106,16,18.16,8,-0.53,220,112.5,3,94.3,15,Michigan State,11
,,219,2021,65,Mount St. Mary's,1,NEC,22,12,10,0.545,9,7,0.563,6,3,6,6,0,1,0,0,1031,976,64.4,61,1402,1371,63.7,62.3,508,1192,0.426,146,433,0.337,240,354,0.678,-3.58,96.1,287,99.7,136,62.2,356,0.006,157,-6.06,303,11.52,44,99.4,274,105.5,321,First Four,0,Mount St. Mary's,16,,,229,66,Texas Southern,SWAC,24,16,8,0.667,10,3,0.769,8,2,5,6,3,0,0,0,976,876,75.1,67.4,1795,1672,74.8,69.7,650,1443,0.45,110,398,0.276,385,551,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,Texas Southern,16
,,229,2021,66,Texas Southern,1,SWAC,24,16,8,0.667,10,3,0.769,8,2,5,6,3,0,0,0,976,876,75.1,67.4,1795,1672,74.8,69.7,650,1443,0.45,110,398,0.276,385,551,0.699,-4.63,99.7,236,104.3,236,72,41,0.055,61,-10.23,341,13.39,30,94,341,104.2,267,First Four,0,Texas Southern,16,,,219,65,Mount St. Mary's,NEC,22,12,10,0.545,9,7,0.563,6,3,6,6,0,1,0,0,1031,976,64.4,61,1402,1371,63.7,62.3,508,1192,0.426,146,433,0.337,240,354,0.678,-3.58,96.1,287,99.7,136,62.2,356,0.006,157,-6.06,303,11.52,44,99.4,274,105.5,321,Mount St. Mary's,16
1,1,1,2021,1,Gonzaga,1,WCC,26,26,0,1,15,0,1,12,0,7,0,7,0,4,0,1363,1002,90.9,66.8,2395,1797,92.1,69.1,888,1612,0.551,190,520,0.365,429,590,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,First Round,1,Gonzaga,1,,,200,67,Norfolk State,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,Norfolk State,16
,,200,2021,67,Norfolk State,1,MEAC,23,16,7,0.696,8,4,0.667,7,4,6,3,3,0,0,0,951,881,79.3,73.4,1730,1591,75.2,69.2,591,1357,0.436,180,489,0.368,368,521,0.706,-2.31,101.3,204,103.6,219,67.7,221,0.031,106,-8.31,334,-0.73,224,96.9,326,105.2,312,First Round,1,Norfolk State,16,1,1,1,1,Gonzaga,WCC,26,26,0,1,15,0,1,12,0,7,0,7,0,4,0,1363,1002,90.9,66.8,2395,1797,92.1,69.1,888,1612,0.551,190,520,0.365,429,590,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1
