AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto_Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted_Efficiency_Margin,KP_Adjusted_Offensive_Efficiency,KP_AOE_Rk,KP_Adjusted_Defensive_Efficiency,KP_ADE_Rk,KP_Adjusted_Tempo,KP_AT_Rk,KP_Luck,KP_Luck_Rk,KP_Strength_of_Schedule,KP_SOS_Rk,KP_Non-Conference_Strength_of_Schedule,KP_NCSOS_Rk,KP_Average_Opponents_Offensive_Efficiency,KP_AOOE_Rk,KP_Average_Opponents_Defensive_Efficiency,KP_AODE_Rk,Round,Round_Number,Team,Seed,Opponent,OppSeed,PF,PA,WL,Won_Game,OppTeamID,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,Opp_TeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted_Efficiency_Margin,Opp_KP_Adjusted_Offensive_Efficiency,Opp_KP_AOW_Rk,Opp_KP_Adjusted_Defensive_Efficiency,Opp_KP_ADE_Rk,Opp_KP_Adjusted_Tempo,Opp_KP_AT_Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength_of_Schedule,Opp_KP_SOS_Rk,Opp_KP_Non-Conference_Strength_of_Schedule,Opp_KP_NCSOS_Rk,Opp_KP_Average_Opponents_Offensive_Efficiency,Opp_KP_AOOE_Rk,Opp_KP_Average_Opponents_Defensive_Efficiency,Opp_KP_AODE_Rk,GameID
,,69,2019,302,Temple,0,Amer,32,23,9,0.719,13,5,0.722,13,2,8,5,2,3,2,2,1365,1308,75.8,72.7,2465,2358,74.6969697,71.45454545,845,1927,0.439,240,726,0.331,465,636,0.731,9.72,109.2,80,99.5,85,68.9,110,0.064,35,4.55,74,-1.07,188,106.3,77,101.8,68,First Four,0,Temple,11,Belmont,11,70,81,L,0,13,,,49,13,Belmont,OVC,31,26,5,0.839,16,2,0.889,13,1,12,3,2,2,0,0,1605,1312,89.2,72.9,2868,2439,86.90909091,73.90909091,987,1976,0.499,325,871,0.373,411,557,0.738,14.09,115.6,18,101.5,117,71.3,34,0.025,113,-1.98,194,3.78,63,103.6,183,105.6,198,5
,,88,2019,59,St. John's,0,BE,33,21,12,0.636,8,10,0.444,13,4,4,7,4,2,3,2,1350,1378,75,76.6,2623,2542,77.14705882,74.76470588,922,2031,0.454,281,778,0.361,433,597,0.725,7.61,108.6,92,101,106,70.8,46,0.06,44,5,68,-6.49,330,106.9,70,101.9,71,First Four,0,St. John's (NY),11,Arizona St.,11,65,74,L,0,235,,,57,235,Arizona State,P12,32,22,10,0.688,12,6,0.667,13,3,6,5,4,3,2,2,1376,1322,76.4,73.4,2638,2494,77.58823529,73.35294118,851,1903,0.447,232,680,0.341,556,829,0.671,11.55,109.7,73,98.2,64,70.8,47,0.051,59,5.56,65,1.55,112,107.3,64,101.7,66,40
,,303,2019,266,North Carolina Central,1,MEAC,33,18,15,0.545,10,6,0.625,10,2,4,12,4,2,0,1,1139,1056,71.2,66,2429,2266,71.44117647,66.64705882,850,1865,0.456,212,672,0.315,443,620,0.715,-11.55,97.8,295,109.3,267,65.3,291,-0.008,206,-11.84,352,1.19,120,97,353,108.9,343,First Four,0,N.C. Central,16,North Dakota St.,16,74,78,L,0,96,,,202,96,North Dakota State,Sum,33,18,15,0.545,9,7,0.563,10,3,4,9,5,4,0,2,1167,1170,72.9,73.1,2556,2541,73.02857143,72.6,828,1816,0.456,315,861,0.366,445,575,0.774,-3.2,107.4,117,110.6,292,65,312,0.064,34,-2.85,217,3.23,84,104.8,138,107.6,292,57
,,211,2019,279,Fairleigh Dickinson,1,NEC,33,20,13,0.606,12,6,0.667,13,4,7,9,1,1,0,1,1372,1298,76.2,72.1,2620,2515,74.85714286,71.85714286,876,1834,0.478,254,629,0.404,483,660,0.732,-4.22,106.5,139,110.7,295,66.8,223,0.04,81,-8.16,338,-1.86,215,99.5,335,107.7,296,First Four,0,Fairleigh Dickinson,16,Prairie View,16,82,76,W,1,267,,,209,267,Prairie View A&M,SWAC,34,22,12,0.647,17,1,0.944,11,0,9,12,2,1,0,0,1391,1198,77.3,66.6,2627,2547,75.05714286,72.77142857,875,1997,0.438,210,675,0.311,591,868,0.681,-4.13,102.1,219,106.2,210,71.1,38,0.061,39,-7.85,331,6.15,26,98.8,343,106.7,243,61
,,49,2019,13,Belmont,0,OVC,31,26,5,0.839,16,2,0.889,13,1,12,3,2,2,0,0,1605,1312,89.2,72.9,2868,2439,86.90909091,73.90909091,987,1976,0.499,325,871,0.373,411,557,0.738,14.09,115.6,18,101.5,117,71.3,34,0.025,113,-1.98,194,3.78,63,103.6,183,105.6,198,First Four,0,Belmont,11,Temple,11,81,70,W,1,302,,,69,302,Temple,Amer,32,23,9,0.719,13,5,0.722,13,2,8,5,2,3,2,2,1365,1308,75.8,72.7,2465,2358,74.6969697,71.45454545,845,1927,0.439,240,726,0.331,465,636,0.731,9.72,109.2,80,99.5,85,68.9,110,0.064,35,4.55,74,-1.07,188,106.3,77,101.8,68,5
,,57,2019,235,Arizona State,0,P12,32,22,10,0.688,12,6,0.667,13,3,6,5,4,3,2,2,1376,1322,76.4,73.4,2638,2494,77.58823529,73.35294118,851,1903,0.447,232,680,0.341,556,829,0.671,11.55,109.7,73,98.2,64,70.8,47,0.051,59,5.56,65,1.55,112,107.3,64,101.7,66,First Four,0,Arizona St.,11,St. John's (NY),11,74,65,W,1,59,,,88,59,St. John's,BE,33,21,12,0.636,8,10,0.444,13,4,4,7,4,2,3,2,1350,1378,75,76.6,2623,2542,77.14705882,74.76470588,922,2031,0.454,281,778,0.361,433,597,0.725,7.61,108.6,92,101,106,70.8,46,0.06,44,5,68,-6.49,330,106.9,70,101.9,71,40
,,209,2019,267,Prairie View A&M,1,SWAC,34,22,12,0.647,17,1,0.944,11,0,9,12,2,1,0,0,1391,1198,77.3,66.6,2627,2547,75.05714286,72.77142857,875,1997,0.438,210,675,0.311,591,868,0.681,-4.13,102.1,219,106.2,210,71.1,38,0.061,39,-7.85,331,6.15,26,98.8,343,106.7,243,First Four,0,Prairie View,16,Fairleigh Dickinson,16,76,82,L,0,279,,,211,279,Fairleigh Dickinson,NEC,33,20,13,0.606,12,6,0.667,13,4,7,9,1,1,0,1,1372,1298,76.2,72.1,2620,2515,74.85714286,71.85714286,876,1834,0.478,254,629,0.404,483,660,0.732,-4.22,106.5,139,110.7,295,66.8,223,0.04,81,-8.16,338,-1.86,215,99.5,335,107.7,296,61
,,202,2019,96,North Dakota State,1,Sum,33,18,15,0.545,9,7,0.563,10,3,4,9,5,4,0,2,1167,1170,72.9,73.1,2556,2541,73.02857143,72.6,828,1816,0.456,315,861,0.366,445,575,0.774,-3.2,107.4,117,110.6,292,65,312,0.064,34,-2.85,217,3.23,84,104.8,138,107.6,292,First Four,0,North Dakota St.,16,N.C. Central,16,78,74,W,1,266,,,303,266,North Carolina Central,MEAC,33,18,15,0.545,10,6,0.625,10,2,4,12,4,2,0,1,1139,1056,71.2,66,2429,2266,71.44117647,66.64705882,850,1865,0.456,212,672,0.315,443,620,0.715,-11.55,97.8,295,109.3,267,65.3,291,-0.008,206,-11.84,352,1.19,120,97,353,108.9,343,57
,,68,2018,261,St. Bonaventure,0,A10,32,25,7,0.781,14,4,0.778,13,1,9,4,4,3,1,1,1434,1330,79.66666667,73.88888889,2620,2407,77.05882353,70.79411765,844,1851,0.456,248,623,0.398,557,739,0.754,11.21,110.8,74,99.5,74,69.4,104,0.078,21,2.8,94,1.17,127,107,86,104.2,111,First Four,0,St. Bonaventure,11,UCLA,11,65,58,W,1,238,,21,56,238,UCLA,P12,32,21,11,0.656,11,7,0.611,14,2,3,7,4,3,2,2,1472,1374,81.77777778,76.33333333,2679,2507,81.18181818,75.96969697,906,1964,0.461,300,783,0.383,509,705,0.722,13.52,115,31,101.4,103,70.3,70,-0.027,257,6.42,63,2.93,81,108.1,72,101.7,60,75
,,41,2018,155,Syracuse,0,ACC,33,20,13,0.606,8,10,0.444,14,5,4,6,5,3,2,8,1161,1173,64.5,65.16666667,2466,2360,66.64864865,63.78378378,751,1796,0.418,193,600,0.322,534,721,0.741,14.82,107,135,92.2,5,62.9,345,0.021,119,9.81,27,-0.2,163,111.3,9,101.5,58,First Four,0,Syracuse,11,Arizona St.,11,60,56,W,1,235,,,49,235,Arizona State,P12,31,20,11,0.645,8,10,0.444,13,4,4,6,3,2,2,2,1403,1378,77.94444444,76.55555556,2645,2395,82.65625,74.84375,867,1868,0.464,277,761,0.364,578,783,0.738,14.13,116.7,18,102.6,123,71.3,43,-0.083,340,5.48,71,0.94,138,107.4,77,101.9,64,91
